"Step","cnn_extreme_seed42 - val/acc","cnn_extreme_seed42 - val/acc__MIN","cnn_extreme_seed42 - val/acc__MAX","cnn_severe_seed42 - val/acc","cnn_severe_seed42 - val/acc__MIN","cnn_severe_seed42 - val/acc__MAX","cnn_balanced_seed42 - val/acc","cnn_balanced_seed42 - val/acc__MIN","cnn_balanced_seed42 - val/acc__MAX"
"20","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","","",""
"40","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.9869230769230769","0.9869230769230769","0.9869230769230769"
"60","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","","",""
"80","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.9946153846153846","0.9946153846153846","0.9946153846153846"
"100","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.6876923076923077","0.6876923076923077","0.6876923076923077","","",""
"120","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.8815384615384615","0.8815384615384615","0.8815384615384615","0.9953846153846154","0.9953846153846154","0.9953846153846154"
"140","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.9253846153846154","0.9253846153846154","0.9253846153846154","","",""
"160","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.9392307692307692","0.9392307692307692","0.9392307692307692","0.9961538461538462","0.9961538461538462","0.9961538461538462"
"180","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.9584615384615385","0.9584615384615385","0.9584615384615385","","",""
"200","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.9538461538461539","0.9538461538461539","0.9538461538461539","0.9961538461538462","0.9961538461538462","0.9961538461538462"
"220","0.5184615384615384","0.5184615384615384","0.5184615384615384","0.9638461538461538","0.9638461538461538","0.9638461538461538","","",""
"240","0.5646153846153846","0.5646153846153846","0.5646153846153846","0.9653846153846154","0.9653846153846154","0.9653846153846154","0.9961538461538462","0.9961538461538462","0.9961538461538462"
"260","0.6507692307692308","0.6507692307692308","0.6507692307692308","0.9684615384615385","0.9684615384615385","0.9684615384615385","","",""
"280","0.7115384615384616","0.7115384615384616","0.7115384615384616","0.97","0.97","0.97","0.9953846153846154","0.9953846153846154","0.9953846153846154"
"300","0.7646153846153846","0.7646153846153846","0.7646153846153846","0.9769230769230769","0.9769230769230769","0.9769230769230769","","",""
"320","0.7915384615384615","0.7915384615384615","0.7915384615384615","0.9723076923076923","0.9723076923076923","0.9723076923076923","0.9953846153846154","0.9953846153846154","0.9953846153846154"
"340","0.8238461538461539","0.8238461538461539","0.8238461538461539","0.9784615384615385","0.9784615384615385","0.9784615384615385","","",""
"360","0.8376923076923077","0.8376923076923077","0.8376923076923077","0.9784615384615385","0.9784615384615385","0.9784615384615385","0.9961538461538462","0.9961538461538462","0.9961538461538462"
"380","0.8484615384615385","0.8484615384615385","0.8484615384615385","0.98","0.98","0.98","","",""
"400","0.8676923076923077","0.8676923076923077","0.8676923076923077","0.9784615384615385","0.9784615384615385","0.9784615384615385","0.9953846153846154","0.9953846153846154","0.9953846153846154"
"440","","","","","","","0.9953846153846154","0.9953846153846154","0.9953846153846154"
"480","","","","","","","0.9953846153846154","0.9953846153846154","0.9953846153846154"
"520","","","","","","","0.9953846153846154","0.9953846153846154","0.9953846153846154"
"560","","","","","","","0.9969230769230769","0.9969230769230769","0.9969230769230769"
"600","","","","","","","0.9953846153846154","0.9953846153846154","0.9953846153846154"
"640","","","","","","","0.9953846153846154","0.9953846153846154","0.9953846153846154"
"680","","","","","","","0.9961538461538462","0.9961538461538462","0.9961538461538462"
"720","","","","","","","0.9961538461538462","0.9961538461538462","0.9961538461538462"
"760","","","","","","","0.9984615384615385","0.9984615384615385","0.9984615384615385"
"800","","","","","","","0.9961538461538462","0.9961538461538462","0.9961538461538462"
