"Step","cnn_extreme_seed42 - val/recall_class_0","cnn_extreme_seed42 - val/recall_class_0__MIN","cnn_extreme_seed42 - val/recall_class_0__MAX","cnn_severe_seed42 - val/recall_class_0","cnn_severe_seed42 - val/recall_class_0__MIN","cnn_severe_seed42 - val/recall_class_0__MAX","cnn_balanced_seed42 - val/recall_class_0","cnn_balanced_seed42 - val/recall_class_0__MIN","cnn_balanced_seed42 - val/recall_class_0__MAX"
"20","1","1","1","1","1","1","","",""
"40","1","1","1","1","1","1","0.9866270422935486","0.9866270422935486","0.9866270422935486"
"60","1","1","1","1","1","1","","",""
"80","1","1","1","1","1","1","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"100","1","1","1","1","1","1","","",""
"120","1","1","1","1","1","1","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"140","1","1","1","1","1","1","","",""
"160","1","1","1","1","1","1","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"180","1","1","1","1","1","1","","",""
"200","1","1","1","1","1","1","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"220","1","1","1","1","1","1","","",""
"240","1","1","1","1","1","1","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"260","1","1","1","1","1","1","","",""
"280","1","1","1","1","1","1","0.9970282316207886","0.9970282316207886","0.9970282316207886"
"300","1","1","1","1","1","1","","",""
"320","1","1","1","1","1","1","0.9970282316207886","0.9970282316207886","0.9970282316207886"
"340","1","1","1","1","1","1","","",""
"360","1","1","1","1","1","1","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"380","1","1","1","1","1","1","","",""
"400","1","1","1","1","1","1","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"440","","","","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"480","","","","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"520","","","","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"560","","","","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"600","","","","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"640","","","","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"680","","","","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"720","","","","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"760","","","","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943"
"800","","","","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943"
