"Step","cnn_extreme_seed42 - val/recall_class_1","cnn_extreme_seed42 - val/recall_class_1__MIN","cnn_extreme_seed42 - val/recall_class_1__MAX","cnn_severe_seed42 - val/recall_class_1","cnn_severe_seed42 - val/recall_class_1__MIN","cnn_severe_seed42 - val/recall_class_1__MAX","cnn_balanced_seed42 - val/recall_class_1","cnn_balanced_seed42 - val/recall_class_1__MIN","cnn_balanced_seed42 - val/recall_class_1__MAX"
"20","0","0","0","0","0","0","","",""
"40","0","0","0","0","0","0","0.9872408509254456","0.9872408509254456","0.9872408509254456"
"60","0","0","0","0","0","0","","",""
"80","0","0","0","0","0","0","0.9904305934906006","0.9904305934906006","0.9904305934906006"
"100","0","0","0","0.35247209668159485","0.35247209668159485","0.35247209668159485","","",""
"120","0","0","0","0.7543859481811523","0.7543859481811523","0.7543859481811523","0.9920254945755005","0.9920254945755005","0.9920254945755005"
"140","0","0","0","0.8452950716018677","0.8452950716018677","0.8452950716018677","","",""
"160","0","0","0","0.8740031719207764","0.8740031719207764","0.8740031719207764","0.9936203956604004","0.9936203956604004","0.9936203956604004"
"180","0","0","0","0.9138755798339844","0.9138755798339844","0.9138755798339844","","",""
"200","0","0","0","0.9043062329292297","0.9043062329292297","0.9043062329292297","0.9936203956604004","0.9936203956604004","0.9936203956604004"
"220","0.0015948963118717074","0.0015948963118717074","0.0015948963118717074","0.9250398874282837","0.9250398874282837","0.9250398874282837","","",""
"240","0.09728867560625076","0.09728867560625076","0.09728867560625076","0.9282296895980835","0.9282296895980835","0.9282296895980835","0.9936203956604004","0.9936203956604004","0.9936203956604004"
"260","0.27591705322265625","0.27591705322265625","0.27591705322265625","0.9346092343330383","0.9346092343330383","0.9346092343330383","","",""
"280","0.4019138813018799","0.4019138813018799","0.4019138813018799","0.9377990365028381","0.9377990365028381","0.9377990365028381","0.9936203956604004","0.9936203956604004","0.9936203956604004"
"300","0.5119616985321045","0.5119616985321045","0.5119616985321045","0.9521530866622925","0.9521530866622925","0.9521530866622925","","",""
"320","0.5677831172943115","0.5677831172943115","0.5677831172943115","0.9425837397575378","0.9425837397575378","0.9425837397575378","0.9936203956604004","0.9936203956604004","0.9936203956604004"
"340","0.6347687244415283","0.6347687244415283","0.6347687244415283","0.9553428888320923","0.9553428888320923","0.9553428888320923","","",""
"360","0.6634768843650818","0.6634768843650818","0.6634768843650818","0.9553428888320923","0.9553428888320923","0.9553428888320923","0.9936203956604004","0.9936203956604004","0.9936203956604004"
"380","0.6858054399490356","0.6858054399490356","0.6858054399490356","0.9585326910018921","0.9585326910018921","0.9585326910018921","","",""
"400","0.7256778478622437","0.7256778478622437","0.7256778478622437","0.9553428888320923","0.9553428888320923","0.9553428888320923","0.9920254945755005","0.9920254945755005","0.9920254945755005"
"440","","","","","","","0.9920254945755005","0.9920254945755005","0.9920254945755005"
"480","","","","","","","0.9920254945755005","0.9920254945755005","0.9920254945755005"
"520","","","","","","","0.9920254945755005","0.9920254945755005","0.9920254945755005"
"560","","","","","","","0.9952152967453003","0.9952152967453003","0.9952152967453003"
"600","","","","","","","0.9920254945755005","0.9920254945755005","0.9920254945755005"
"640","","","","","","","0.9920254945755005","0.9920254945755005","0.9920254945755005"
"680","","","","","","","0.9936203956604004","0.9936203956604004","0.9936203956604004"
"720","","","","","","","0.9936203956604004","0.9936203956604004","0.9936203956604004"
"760","","","","","","","0.9984050989151001","0.9984050989151001","0.9984050989151001"
"800","","","","","","","0.9936203956604004","0.9936203956604004","0.9936203956604004"
