"Step","fc_balanced_seed42 - val/acc","fc_balanced_seed42 - val/acc__MIN","fc_balanced_seed42 - val/acc__MAX","fc_severe_seed42 - val/acc","fc_severe_seed42 - val/acc__MIN","fc_severe_seed42 - val/acc__MAX","fc_extreme_seed42 - val/acc","fc_extreme_seed42 - val/acc__MIN","fc_extreme_seed42 - val/acc__MAX"
"20","","","","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"40","0.9846153846153847","0.9846153846153847","0.9846153846153847","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"60","","","","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"80","0.9938461538461538","0.9938461538461538","0.9938461538461538","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"100","","","","0.5515384615384615","0.5515384615384615","0.5515384615384615","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"120","0.9930769230769231","0.9930769230769231","0.9930769230769231","0.8138461538461539","0.8138461538461539","0.8138461538461539","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"140","","","","0.8923076923076924","0.8923076923076924","0.8923076923076924","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"160","0.9923076923076923","0.9923076923076923","0.9923076923076923","0.9223076923076923","0.9223076923076923","0.9223076923076923","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"180","","","","0.9384615384615385","0.9384615384615385","0.9384615384615385","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"200","0.9930769230769231","0.9930769230769231","0.9930769230769231","0.9507692307692308","0.9507692307692308","0.9507692307692308","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"220","","","","0.9576923076923077","0.9576923076923077","0.9576923076923077","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"240","0.9930769230769231","0.9930769230769231","0.9930769230769231","0.9592307692307692","0.9592307692307692","0.9592307692307692","0.5176923076923077","0.5176923076923077","0.5176923076923077"
"260","","","","0.963076923076923","0.963076923076923","0.963076923076923","0.5192307692307693","0.5192307692307693","0.5192307692307693"
"280","0.9923076923076923","0.9923076923076923","0.9923076923076923","0.9676923076923077","0.9676923076923077","0.9676923076923077","0.5238461538461539","0.5238461538461539","0.5238461538461539"
"300","","","","0.9669230769230769","0.9669230769230769","0.9669230769230769","0.5546153846153846","0.5546153846153846","0.5546153846153846"
"320","0.9930769230769231","0.9930769230769231","0.9930769230769231","0.9684615384615385","0.9684615384615385","0.9684615384615385","0.6076923076923076","0.6076923076923076","0.6076923076923076"
"340","","","","0.9692307692307692","0.9692307692307692","0.9692307692307692","0.6569230769230769","0.6569230769230769","0.6569230769230769"
"360","0.9930769230769231","0.9930769230769231","0.9930769230769231","0.97","0.97","0.97","0.7123076923076923","0.7123076923076923","0.7123076923076923"
"380","","","","0.9707692307692307","0.9707692307692307","0.9707692307692307","0.7530769230769231","0.7530769230769231","0.7530769230769231"
"400","0.9930769230769231","0.9930769230769231","0.9930769230769231","0.9746153846153847","0.9746153846153847","0.9746153846153847","0.79","0.79","0.79"
"440","0.9930769230769231","0.9930769230769231","0.9930769230769231","","","","","",""
"480","0.9930769230769231","0.9930769230769231","0.9930769230769231","","","","","",""
"520","0.9930769230769231","0.9930769230769231","0.9930769230769231","","","","","",""
"560","0.9930769230769231","0.9930769230769231","0.9930769230769231","","","","","",""
"600","0.9930769230769231","0.9930769230769231","0.9930769230769231","","","","","",""
"640","0.9930769230769231","0.9930769230769231","0.9930769230769231","","","","","",""
"680","0.9930769230769231","0.9930769230769231","0.9930769230769231","","","","","",""
"720","0.9930769230769231","0.9930769230769231","0.9930769230769231","","","","","",""
"760","0.9930769230769231","0.9930769230769231","0.9930769230769231","","","","","",""
"800","0.9930769230769231","0.9930769230769231","0.9930769230769231","","","","","",""
