"Step","fc_balanced_seed42 - classwise_grad/mean_norm_maj","fc_balanced_seed42 - classwise_grad/mean_norm_maj__MIN","fc_balanced_seed42 - classwise_grad/mean_norm_maj__MAX","fc_severe_seed42 - classwise_grad/mean_norm_maj","fc_severe_seed42 - classwise_grad/mean_norm_maj__MIN","fc_severe_seed42 - classwise_grad/mean_norm_maj__MAX","fc_extreme_seed42 - classwise_grad/mean_norm_maj","fc_extreme_seed42 - classwise_grad/mean_norm_maj__MIN","fc_extreme_seed42 - classwise_grad/mean_norm_maj__MAX"
"20","","","","0.0062294870941030705","0.0062294870941030705","0.0062294870941030705","0.0018673410174746908","0.0018673410174746908","0.0018673410174746908"
"40","0.5831604464727683","0.5831604464727683","0.5831604464727683","0.03970267319484371","0.03970267319484371","0.03970267319484371","0.0016877935551385158","0.0016877935551385158","0.0016877935551385158"
"60","","","","0.07908707143634489","0.07908707143634489","0.07908707143634489","0.007872315316278055","0.007872315316278055","0.007872315316278055"
"80","0.3586253196208291","0.3586253196208291","0.3586253196208291","0.06545999381408647","0.06545999381408647","0.06545999381408647","0.010296094410741094","0.010296094410741094","0.010296094410741094"
"100","","","","0.05797571535676579","0.05797571535676579","0.05797571535676579","0.022119506986241655","0.022119506986241655","0.022119506986241655"
"120","0.3159060447103348","0.3159060447103348","0.3159060447103348","0.05188319469440672","0.05188319469440672","0.05188319469440672","0.02471226381952298","0.02471226381952298","0.02471226381952298"
"140","","","","0.05864777397631843","0.05864777397631843","0.05864777397631843","0.027621051974419088","0.027621051974419088","0.027621051974419088"
"160","0.26390727590420815","0.26390727590420815","0.26390727590420815","0.05479955946712703","0.05479955946712703","0.05479955946712703","0.02561191341413058","0.02561191341413058","0.02561191341413058"
"180","","","","0.06093048305589669","0.06093048305589669","0.06093048305589669","0.020525837262643617","0.020525837262643617","0.020525837262643617"
"200","0.23867553290769508","0.23867553290769508","0.23867553290769508","0.056507777285558704","0.056507777285558704","0.056507777285558704","0.021753426854168274","0.021753426854168274","0.021753426854168274"
"220","","","","0.05394391687820171","0.05394391687820171","0.05394391687820171","0.017709074629037737","0.017709074629037737","0.017709074629037737"
"240","0.18781737323745623","0.18781737323745623","0.18781737323745623","0.04640431834772531","0.04640431834772531","0.04640431834772531","0.02525510206273461","0.02525510206273461","0.02525510206273461"
"260","","","","0.049634560206571754","0.049634560206571754","0.049634560206571754","0.019404880596790592","0.019404880596790592","0.019404880596790592"
"280","0.21773289874656218","0.21773289874656218","0.21773289874656218","0.05346329016393287","0.05346329016393287","0.05346329016393287","0.021284725100523785","0.021284725100523785","0.021284725100523785"
"300","","","","0.04098021560994146","0.04098021560994146","0.04098021560994146","0.018524468086679593","0.018524468086679593","0.018524468086679593"
"320","0.2219691357761566","0.2219691357761566","0.2219691357761566","0.05206279622515519","0.05206279622515519","0.05206279622515519","0.014971737946062245","0.014971737946062245","0.014971737946062245"
"340","","","","0.03214122151534356","0.03214122151534356","0.03214122151534356","0.01646045548566948","0.01646045548566948","0.01646045548566948"
"360","0.11126066988504998","0.11126066988504998","0.11126066988504998","0.023640788163285062","0.023640788163285062","0.023640788163285062","0.0234318294269256","0.0234318294269256","0.0234318294269256"
"380","","","","0.02763158808184947","0.02763158808184947","0.02763158808184947","0.01712234202383028","0.01712234202383028","0.01712234202383028"
"400","0.17483413027445066","0.17483413027445066","0.17483413027445066","0.04799433468828087","0.04799433468828087","0.04799433468828087","0.014620750269423699","0.014620750269423699","0.014620750269423699"
"440","0.2209829332628199","0.2209829332628199","0.2209829332628199","","","","","",""
"480","0.225346516561214","0.225346516561214","0.225346516561214","","","","","",""
"520","0.30815436093258464","0.30815436093258464","0.30815436093258464","","","","","",""
"560","0.17248093529110997","0.17248093529110997","0.17248093529110997","","","","","",""
"600","0.17864124842534324","0.17864124842534324","0.17864124842534324","","","","","",""
"640","0.1506141004516816","0.1506141004516816","0.1506141004516816","","","","","",""
"680","0.17993506365878953","0.17993506365878953","0.17993506365878953","","","","","",""
"720","0.15075556047608973","0.15075556047608973","0.15075556047608973","","","","","",""
"760","0.1449776550553567","0.1449776550553567","0.1449776550553567","","","","","",""
"800","0.12130399701046651","0.12130399701046651","0.12130399701046651","","","","","",""
