"Step","fc_balanced_seed42 - val/recall_class_1","fc_balanced_seed42 - val/recall_class_1__MIN","fc_balanced_seed42 - val/recall_class_1__MAX","fc_severe_seed42 - val/recall_class_1","fc_severe_seed42 - val/recall_class_1__MIN","fc_severe_seed42 - val/recall_class_1__MAX","fc_extreme_seed42 - val/recall_class_1","fc_extreme_seed42 - val/recall_class_1__MIN","fc_extreme_seed42 - val/recall_class_1__MAX"
"20","","","","0","0","0","0","0","0"
"40","0.9840510487556458","0.9840510487556458","0.9840510487556458","0","0","0","0","0","0"
"60","","","","0","0","0","0","0","0"
"80","0.9920254945755005","0.9920254945755005","0.9920254945755005","0","0","0","0","0","0"
"100","","","","0.07017543911933899","0.07017543911933899","0.07017543911933899","0","0","0"
"120","0.9920254945755005","0.9920254945755005","0.9920254945755005","0.6140350699424744","0.6140350699424744","0.6140350699424744","0","0","0"
"140","","","","0.7767145037651062","0.7767145037651062","0.7767145037651062","0","0","0"
"160","0.9904305934906006","0.9904305934906006","0.9904305934906006","0.8389154672622681","0.8389154672622681","0.8389154672622681","0","0","0"
"180","","","","0.8724082708358765","0.8724082708358765","0.8724082708358765","0","0","0"
"200","0.9904305934906006","0.9904305934906006","0.9904305934906006","0.8979266285896301","0.8979266285896301","0.8979266285896301","0","0","0"
"220","","","","0.9138755798339844","0.9138755798339844","0.9138755798339844","0","0","0"
"240","0.9904305934906006","0.9904305934906006","0.9904305934906006","0.9170653820037842","0.9170653820037842","0.9170653820037842","0","0","0"
"260","","","","0.9250398874282837","0.9250398874282837","0.9250398874282837","0.003189792623743415","0.003189792623743415","0.003189792623743415"
"280","0.9904305934906006","0.9904305934906006","0.9904305934906006","0.9346092343330383","0.9346092343330383","0.9346092343330383","0.01275917049497366","0.01275917049497366","0.01275917049497366"
"300","","","","0.9330143332481384","0.9330143332481384","0.9330143332481384","0.07655502110719681","0.07655502110719681","0.07655502110719681"
"320","0.9904305934906006","0.9904305934906006","0.9904305934906006","0.9362041354179382","0.9362041354179382","0.9362041354179382","0.1866028755903244","0.1866028755903244","0.1866028755903244"
"340","","","","0.9377990365028381","0.9377990365028381","0.9377990365028381","0.2886762320995331","0.2886762320995331","0.2886762320995331"
"360","0.9904305934906006","0.9904305934906006","0.9904305934906006","0.939393937587738","0.939393937587738","0.939393937587738","0.4035087823867798","0.4035087823867798","0.4035087823867798"
"380","","","","0.9409888386726379","0.9409888386726379","0.9409888386726379","0.4880382716655731","0.4880382716655731","0.4880382716655731"
"400","0.9904305934906006","0.9904305934906006","0.9904305934906006","0.9489633440971375","0.9489633440971375","0.9489633440971375","0.5645933151245117","0.5645933151245117","0.5645933151245117"
"440","0.9904305934906006","0.9904305934906006","0.9904305934906006","","","","","",""
"480","0.9904305934906006","0.9904305934906006","0.9904305934906006","","","","","",""
"520","0.9904305934906006","0.9904305934906006","0.9904305934906006","","","","","",""
"560","0.9904305934906006","0.9904305934906006","0.9904305934906006","","","","","",""
"600","0.9904305934906006","0.9904305934906006","0.9904305934906006","","","","","",""
"640","0.9904305934906006","0.9904305934906006","0.9904305934906006","","","","","",""
"680","0.9904305934906006","0.9904305934906006","0.9904305934906006","","","","","",""
"720","0.9904305934906006","0.9904305934906006","0.9904305934906006","","","","","",""
"760","0.9904305934906006","0.9904305934906006","0.9904305934906006","","","","","",""
"800","0.9904305934906006","0.9904305934906006","0.9904305934906006","","","","","",""
